ccaa,year,spend_type,total_gastos_eur,func41_agricultura_pesca_alimentacion_eur,source_ref
Comunidad de Madrid,2017,presupuestado,20504093720.0,40692770.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2017
Región de Murcia,2017,presupuestado,5092676850.0,114686120.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2017
Comunidad Foral de Navarra,2017,presupuestado,4061878790.0,101943560.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2017
País Vasco,2017,presupuestado,11125140970.0,114103910.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2017
La Rioja,2017,presupuestado,1455645500.0,55761040.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2017
Andalucía,2018,presupuestado,34769245000.0,2352759930.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2018
Aragón,2018,presupuestado,6162313650.0,642933400.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2018
Principado de Asturias,2018,presupuestado,4213439730.0000005,174993270.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2018
Comunidad Valenciana,2018,presupuestado,20414354810.0,498433140.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2018
Canarias,2018,presupuestado,8272992450.0,76007230.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2018
Cantabria,2018,presupuestado,2730974340.0,51815550.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2018
Castilla y León,2018,presupuestado,10859218620.0,1382181380.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2018
Castilla-La Mancha,2018,presupuestado,9219096050.0,1276490570.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2018
Cataluña,2018,presupuestado,34120806840.000004,558338760.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2018
Extremadura,2018,presupuestado,5433975910.0,752467650.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2018
Galicia,2018,presupuestado,10723973160.0,432907970.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2018
Islas Baleares,2018,presupuestado,5008809100.0,55322570.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2018
Comunidad de Madrid,2018,presupuestado,21633750660.0,45256680.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2018
Región de Murcia,2018,presupuestado,5515448390.0,133875190.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2018
Comunidad Foral de Navarra,2018,presupuestado,4164135410.0,105050600.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2018
País Vasco,2018,presupuestado,11578805630.0,118978610.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2018
La Rioja,2018,presupuestado,1518988700.0,54935340.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2018
Andalucía,2019,presupuestado,36500755620.0,2651274890.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2019
