nacionalidad,anyo,ambito,sexo,total
PAÍS DESCONOCIDO,2021,ANTIGITANISMO,Femenino,0
PAÍS DESCONOCIDO,2021,ANTIGITANISMO,Masculino,0
PAÍS NO CODIFICADO,2021,ANTIGITANISMO,Ambos sexos,0
PAÍS NO CODIFICADO,2021,ANTIGITANISMO,Femenino,0
PAÍS NO CODIFICADO,2021,ANTIGITANISMO,Masculino,0
PERÚ,2021,ANTIGITANISMO,Ambos sexos,0
PERÚ,2021,ANTIGITANISMO,Femenino,0
PERÚ,2021,ANTIGITANISMO,Masculino,0
POLONIA,2021,ANTIGITANISMO,Ambos sexos,0
POLONIA,2021,ANTIGITANISMO,Femenino,0
POLONIA,2021,ANTIGITANISMO,Masculino,0
PORTUGAL,2021,ANTIGITANISMO,Ambos sexos,0
PORTUGAL,2021,ANTIGITANISMO,Femenino,0
PORTUGAL,2021,ANTIGITANISMO,Masculino,0
REINO UNIDO,2021,ANTIGITANISMO,Ambos sexos,0
REINO UNIDO,2021,ANTIGITANISMO,Femenino,0
REINO UNIDO,2021,ANTIGITANISMO,Masculino,0
REPÚBLICA CHECA,2021,ANTIGITANISMO,Ambos sexos,0
REPÚBLICA CHECA,2021,ANTIGITANISMO,Femenino,0
REPÚBLICA CHECA,2021,ANTIGITANISMO,Masculino,0
REPÚBLICA DOMINICANA,2021,ANTIGITANISMO,Ambos sexos,0
REPÚBLICA DOMINICANA,2021,ANTIGITANISMO,Femenino,0
REPÚBLICA DOMINICANA,2021,ANTIGITANISMO,Masculino,0
RUMANÍA,2021,ANTIGITANISMO,Ambos sexos,0
RUMANÍA,2021,ANTIGITANISMO,Femenino,0
RUMANÍA,2021,ANTIGITANISMO,Masculino,0
RUSIA,2021,ANTIGITANISMO,Ambos sexos,0
RUSIA,2021,ANTIGITANISMO,Femenino,0
RUSIA,2021,ANTIGITANISMO,Masculino,0
SENEGAL,2021,ANTIGITANISMO,Ambos sexos,0
SENEGAL,2021,ANTIGITANISMO,Femenino,0
SENEGAL,2021,ANTIGITANISMO,Masculino,0
SERBIA (YUGOSLAVIA),2021,ANTIGITANISMO,Ambos sexos,0
SERBIA (YUGOSLAVIA),2021,ANTIGITANISMO,Femenino,0
SERBIA (YUGOSLAVIA),2021,ANTIGITANISMO,Masculino,0
SIERRA LEONA,2021,ANTIGITANISMO,Ambos sexos,0
SIERRA LEONA,2021,ANTIGITANISMO,Femenino,0
SIERRA LEONA,2021,ANTIGITANISMO,Masculino,0
SIRIA,2021,ANTIGITANISMO,Ambos sexos,0
SIRIA,2021,ANTIGITANISMO,Femenino,0
SIRIA,2021,ANTIGITANISMO,Masculino,0
SUDÁFRICA R.,2021,ANTIGITANISMO,Ambos sexos,0
SUDÁFRICA R.,2021,ANTIGITANISMO,Femenino,0
SUDÁFRICA R.,2021,ANTIGITANISMO,Masculino,0
SUECIA,2021,ANTIGITANISMO,Ambos sexos,0
SUECIA,2021,ANTIGITANISMO,Femenino,0
SUECIA,2021,ANTIGITANISMO,Masculino,0
SUIZA,2021,ANTIGITANISMO,Ambos sexos,0
SUIZA,2021,ANTIGITANISMO,Femenino,0
SUIZA,2021,ANTIGITANISMO,Masculino,0
TOTAL nacionalidad,2021,ANTIGITANISMO,Ambos sexos,0
TOTAL nacionalidad,2021,ANTIGITANISMO,Femenino,0
TOTAL nacionalidad,2021,ANTIGITANISMO,Masculino,0
TURQUÍA,2021,ANTIGITANISMO,Ambos sexos,0
TURQUÍA,2021,ANTIGITANISMO,Femenino,0
TURQUÍA,2021,ANTIGITANISMO,Masculino,0
TÚNEZ,2021,ANTIGITANISMO,Ambos sexos,0
TÚNEZ,2021,ANTIGITANISMO,Femenino,0
TÚNEZ,2021,ANTIGITANISMO,Masculino,0
UCRANIA,2021,ANTIGITANISMO,Ambos sexos,0
UCRANIA,2021,ANTIGITANISMO,Femenino,0
UCRANIA,2021,ANTIGITANISMO,Masculino,0
URUGUAY,2021,ANTIGITANISMO,Ambos sexos,0
URUGUAY,2021,ANTIGITANISMO,Femenino,0
URUGUAY,2021,ANTIGITANISMO,Masculino,0
VENEZUELA,2021,ANTIGITANISMO,Ambos sexos,0
VENEZUELA,2021,ANTIGITANISMO,Femenino,0
VENEZUELA,2021,ANTIGITANISMO,Masculino,0
ZAMBIA,2021,ANTIGITANISMO,Ambos sexos,0
ZAMBIA,2021,ANTIGITANISMO,Femenino,0
ZAMBIA,2021,ANTIGITANISMO,Masculino,0
ALBANIA,2021,ANTISEMITISMO,Ambos sexos,0
ALBANIA,2021,ANTISEMITISMO,Femenino,0
