year,crime_label,nationality_label,count
2023,exhibicionismo,america,22.0
2023,exhibicionismo,asia,4.0
2023,exhibicionismo,española,245.0
2023,exhibicionismo,europa_no_ue27,9.0
2023,exhibicionismo,oceania,0.0
2023,exhibicionismo,total,333.0
2023,exhibicionismo,ue27_excl_espana,22.0
2023,prostitucion_menores,africa,16.0
2023,prostitucion_menores,america,52.0
2023,prostitucion_menores,asia,2.0
2023,prostitucion_menores,española,417.0
2023,prostitucion_menores,europa_no_ue27,10.0
2023,prostitucion_menores,oceania,0.0
2023,prostitucion_menores,total,532.0
2023,prostitucion_menores,ue27_excl_espana,35.0
2023,violacion,africa,5.0
2023,violacion,america,2.0
2023,violacion,asia,0.0
2023,violacion,española,19.0
2023,violacion,europa_no_ue27,1.0
2023,violacion,oceania,0.0
2023,violacion,total,30.0
2023,violacion,ue27_excl_espana,3.0
2024,abusos_agresiones_menores16,africa,61.0
2024,abusos_agresiones_menores16,america,141.0
2024,abusos_agresiones_menores16,asia,17.0
2024,abusos_agresiones_menores16,española,858.0
2024,abusos_agresiones_menores16,europa_no_ue27,29.0
2024,abusos_agresiones_menores16,oceania,1.0
2024,abusos_agresiones_menores16,total,1151.0
2024,abusos_agresiones_menores16,ue27_excl_espana,44.0
2024,abusos_sexuales,africa,100.0
2024,abusos_sexuales,america,144.0
2024,abusos_sexuales,asia,25.0
2024,abusos_sexuales,española,752.0
2024,abusos_sexuales,europa_no_ue27,10.0
2024,abusos_sexuales,oceania,0.0
2024,abusos_sexuales,total,1097.0
2024,abusos_sexuales,ue27_excl_espana,66.0
2024,acoso_sexual,africa,4.0
2024,acoso_sexual,america,3.0
2024,acoso_sexual,asia,2.0
2024,acoso_sexual,española,40.0
2024,acoso_sexual,europa_no_ue27,0.0
2024,acoso_sexual,oceania,0.0
2024,acoso_sexual,total,51.0
2024,acoso_sexual,ue27_excl_espana,2.0
2024,agresion_sexual,africa,255.0
2024,agresion_sexual,america,198.0
2024,agresion_sexual,asia,26.0
2024,agresion_sexual,española,694.0
2024,agresion_sexual,europa_no_ue27,28.0
2024,agresion_sexual,oceania,1.0
2024,agresion_sexual,total,1299.0
2024,agresion_sexual,ue27_excl_espana,97.0
2024,agresiones_sexuales,africa,279.0
2024,agresiones_sexuales,america,215.0
2024,agresiones_sexuales,asia,28.0
2024,agresiones_sexuales,española,735.0
2024,agresiones_sexuales,europa_no_ue27,30.0
2024,agresiones_sexuales,oceania,1.0
2024,agresiones_sexuales,total,1389.0
2024,agresiones_sexuales,ue27_excl_espana,101.0
2024,cap8_total,africa,501.0
2024,cap8_total,america,776.0
2024,cap8_total,asia,79.0
2024,cap8_total,española,3325.0
2024,cap8_total,europa_no_ue27,105.0
2024,cap8_total,oceania,2.0
2024,cap8_total,total,5073.0
2024,cap8_total,ue27_excl_espana,285.0
2024,exhibicionismo,africa,34.0
2024,exhibicionismo,america,28.0
2024,exhibicionismo,asia,4.0
