year,sex,age_group,cause,deaths
2000,male,30-34,Suicidio y lesiones autoinfligidas,175
2000,male,30-34,Todas las causas,2191
2000,male,30-34,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",6
2000,male,35-39,Accidentes de tráfico,372
2000,male,35-39,Agresiones (homicidio),34
2000,male,35-39,Envenenamiento accidental por psicofármacos y drogas de abuso,144
2000,male,35-39,Eventos de intención no determinada,9
2000,male,35-39,Suicidio y lesiones autoinfligidas,221
2000,male,35-39,Todas las causas,2935
2000,male,35-39,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",5
2000,male,40-44,Accidentes de tráfico,331
2000,male,40-44,Agresiones (homicidio),38
2000,male,40-44,Envenenamiento accidental por psicofármacos y drogas de abuso,51
2000,male,40-44,Eventos de intención no determinada,9
2000,male,40-44,Suicidio y lesiones autoinfligidas,193
2000,male,40-44,Todas las causas,3678
2000,male,40-44,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",5
2000,male,45-49,Accidentes de tráfico,268
2000,male,45-49,Agresiones (homicidio),28
2000,male,45-49,Envenenamiento accidental por psicofármacos y drogas de abuso,21
2000,male,45-49,Eventos de intención no determinada,4
2000,male,45-49,Suicidio y lesiones autoinfligidas,173
2000,male,45-49,Todas las causas,4603
2000,male,45-49,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2
2000,male,5-9,Accidentes de tráfico,32
2000,male,5-9,Agresiones (homicidio),1
2000,male,5-9,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,male,5-9,Eventos de intención no determinada,0
2000,male,5-9,Suicidio y lesiones autoinfligidas,0
2000,male,5-9,Todas las causas,181
2000,male,5-9,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,50-54,Accidentes de tráfico,245
2000,male,50-54,Agresiones (homicidio),18
2000,male,50-54,Envenenamiento accidental por psicofármacos y drogas de abuso,9
2000,male,50-54,Eventos de intención no determinada,2
2000,male,50-54,Suicidio y lesiones autoinfligidas,155
2000,male,50-54,Todas las causas,6691
2000,male,50-54,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2
2000,male,55-59,Accidentes de tráfico,247
2000,male,55-59,Agresiones (homicidio),17
2000,male,55-59,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,male,55-59,Eventos de intención no determinada,4
2000,male,55-59,Suicidio y lesiones autoinfligidas,149
2000,male,55-59,Todas las causas,8622
2000,male,55-59,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,60-64,Accidentes de tráfico,214
2000,male,60-64,Agresiones (homicidio),16
2000,male,60-64,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,male,60-64,Eventos de intención no determinada,6
2000,male,60-64,Suicidio y lesiones autoinfligidas,155
2000,male,60-64,Todas las causas,12125
2000,male,60-64,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",1
2000,male,65-69,Accidentes de tráfico,228
2000,male,65-69,Agresiones (homicidio),9
2000,male,65-69,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,male,65-69,Eventos de intención no determinada,3
2000,male,65-69,Suicidio y lesiones autoinfligidas,201
2000,male,65-69,Todas las causas,20008
2000,male,65-69,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,70-74,Accidentes de tráfico,223
2000,male,70-74,Agresiones (homicidio),2
2000,male,70-74,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,male,70-74,Eventos de intención no determinada,6
2000,male,70-74,Suicidio y lesiones autoinfligidas,205
2000,male,70-74,Todas las causas,26300
2000,male,70-74,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,75-79,Accidentes de tráfico,176
2000,male,75-79,Agresiones (homicidio),4
2000,male,75-79,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,male,75-79,Eventos de intención no determinada,1
2000,male,75-79,Suicidio y lesiones autoinfligidas,196
2000,male,75-79,Todas las causas,31507
2000,male,75-79,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,80-84,Accidentes de tráfico,81
2000,male,80-84,Agresiones (homicidio),2
2000,male,80-84,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,male,80-84,Eventos de intención no determinada,3
2000,male,80-84,Suicidio y lesiones autoinfligidas,152
2000,male,80-84,Todas las causas,27072
2000,male,80-84,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,85-89,Accidentes de tráfico,53
2000,male,85-89,Agresiones (homicidio),3
2000,male,85-89,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,male,85-89,Eventos de intención no determinada,2
2000,male,85-89,Suicidio y lesiones autoinfligidas,102
2000,male,85-89,Todas las causas,22691
2000,male,85-89,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,90-94,Accidentes de tráfico,19
2000,male,90-94,Agresiones (homicidio),1
2000,male,90-94,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,male,90-94,Eventos de intención no determinada,2
2000,male,90-94,Suicidio y lesiones autoinfligidas,34
2000,male,90-94,Todas las causas,11834
2000,male,90-94,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,95+,Accidentes de tráfico,4
2000,male,95+,Agresiones (homicidio),0
2000,male,95+,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,male,95+,Eventos de intención no determinada,0
2000,male,95+,Suicidio y lesiones autoinfligidas,3
2000,male,95+,Todas las causas,3430
2000,male,95+,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,<1,Accidentes de tráfico,7
2000,male,<1,Agresiones (homicidio),2
2000,male,<1,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,male,<1,Eventos de intención no determinada,0
2000,male,<1,Suicidio y lesiones autoinfligidas,0
2000,male,<1,Todas las causas,959
2000,male,<1,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,male,all,Accidentes de tráfico,4653
2000,male,all,Agresiones (homicidio),298
2000,male,all,Envenenamiento accidental por psicofármacos y drogas de abuso,605
2000,male,all,Eventos de intención no determinada,71
2000,male,all,Suicidio y lesiones autoinfligidas,2574
2000,male,all,Todas las causas,189468
2000,male,all,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",30
2001,all,1-4,Accidentes de tráfico,44
2001,all,1-4,Agresiones (homicidio),2
2001,all,1-4,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2001,all,1-4,Eventos de intención no determinada,0
2001,all,1-4,Suicidio y lesiones autoinfligidas,0
2001,all,1-4,Todas las causas,370
2001,all,1-4,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2001,all,10-14,Accidentes de tráfico,59
2001,all,10-14,Agresiones (homicidio),1
2001,all,10-14,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2001,all,10-14,Eventos de intención no determinada,0
2001,all,10-14,Suicidio y lesiones autoinfligidas,11
2001,all,10-14,Todas las causas,346
2001,all,10-14,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2001,all,15-19,Accidentes de tráfico,499
2001,all,15-19,Agresiones (homicidio),15
2001,all,15-19,Envenenamiento accidental por psicofármacos y drogas de abuso,20
2001,all,15-19,Eventos de intención no determinada,2
2001,all,15-19,Suicidio y lesiones autoinfligidas,49
2001,all,15-19,Todas las causas,1043
2001,all,15-19,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",1
2001,all,20-24,Accidentes de tráfico,706
2001,all,20-24,Agresiones (homicidio),39
2001,all,20-24,Envenenamiento accidental por psicofármacos y drogas de abuso,64
2001,all,20-24,Eventos de intención no determinada,7
2001,all,20-24,Suicidio y lesiones autoinfligidas,185
2001,all,20-24,Todas las causas,1794
2001,all,20-24,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",6
2001,all,25-29,Accidentes de tráfico,650
2001,all,25-29,Agresiones (homicidio),55
2001,all,25-29,Envenenamiento accidental por psicofármacos y drogas de abuso,106
2001,all,25-29,Eventos de intención no determinada,10
2001,all,25-29,Suicidio y lesiones autoinfligidas,221
2001,all,25-29,Todas las causas,2179
