year,sex,age_group,cause_chapter,cause,deaths,population,rate_per_100k
2000,female,80-84,,Agresiones (homicidio),0,525308,0.0
2000,female,80-84,,Envenenamiento accidental por psicofármacos y drogas de abuso,1,525308,0.1904
2000,female,80-84,,Eventos de intención no determinada,1,525308,0.1904
2000,female,80-84,,Suicidio y lesiones autoinfligidas,51,525308,9.7086
2000,female,80-84,I-XXII,Todas las causas,31801,525308,6053.7818
2000,female,80-84,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,525308,0.0
2000,female,85-89,,Accidentes de tráfico,41,318621,12.868
2000,female,85-89,,Agresiones (homicidio),3,318621,0.9416
2000,female,85-89,,Envenenamiento accidental por psicofármacos y drogas de abuso,0,318621,0.0
2000,female,85-89,,Eventos de intención no determinada,0,318621,0.0
2000,female,85-89,,Suicidio y lesiones autoinfligidas,33,318621,10.3571
2000,female,85-89,I-XXII,Todas las causas,36969,318621,11602.8134
2000,female,85-89,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,318621,0.0
2000,female,90-94,,Accidentes de tráfico,11,122640,8.9693
2000,female,90-94,,Agresiones (homicidio),1,122640,0.8154
2000,female,90-94,,Envenenamiento accidental por psicofármacos y drogas de abuso,0,122640,0.0
2000,female,90-94,,Eventos de intención no determinada,2,122640,1.6308
2000,female,90-94,,Suicidio y lesiones autoinfligidas,8,122640,6.5232
2000,female,90-94,I-XXII,Todas las causas,25485,122640,20780.3327
2000,female,90-94,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,122640,0.0
2000,female,95+,,Accidentes de tráfico,5,27402,18.2468
2000,female,95+,,Agresiones (homicidio),0,27402,0.0
2000,female,95+,,Envenenamiento accidental por psicofármacos y drogas de abuso,1,27402,3.6494
2000,female,95+,,Eventos de intención no determinada,0,27402,0.0
2000,female,95+,,Suicidio y lesiones autoinfligidas,3,27402,10.9481
2000,female,95+,I-XXII,Todas las causas,9478,27402,34588.7162
2000,female,95+,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,27402,0.0
2000,female,<1,,Accidentes de tráfico,3,186652,1.6073
2000,female,<1,,Agresiones (homicidio),2,186652,1.0715
2000,female,<1,,Envenenamiento accidental por psicofármacos y drogas de abuso,0,186652,0.0
2000,female,<1,,Eventos de intención no determinada,0,186652,0.0
2000,female,<1,,Suicidio y lesiones autoinfligidas,0,186652,0.0
2000,female,<1,I-XXII,Todas las causas,781,186652,418.4257
2000,female,<1,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,186652,0.0
2000,female,all,,Accidentes de tráfico,1445,20685752,6.9855
2000,female,all,,Agresiones (homicidio),113,20685752,0.5463
2000,female,all,,Envenenamiento accidental por psicofármacos y drogas de abuso,93,20685752,0.4496
2000,female,all,,Eventos de intención no determinada,27,20685752,0.1305
2000,female,all,,Suicidio y lesiones autoinfligidas,819,20685752,3.9592
2000,female,all,I-XXII,Todas las causas,170923,20685752,826.2837
2000,female,all,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",4,20685752,0.0193
2000,male,1-4,,Accidentes de tráfico,19,757221,2.5092
2000,male,1-4,,Agresiones (homicidio),0,757221,0.0
2000,male,1-4,,Envenenamiento accidental por psicofármacos y drogas de abuso,0,757221,0.0
2000,male,1-4,,Eventos de intención no determinada,0,757221,0.0
2000,male,1-4,,Suicidio y lesiones autoinfligidas,0,757221,0.0
2000,male,1-4,I-XXII,Todas las causas,220,757221,29.0536
2000,male,1-4,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,757221,0.0
2000,male,10-14,,Accidentes de tráfico,73,1105524,6.6032
2000,male,10-14,,Agresiones (homicidio),0,1105524,0.0
2000,male,10-14,,Envenenamiento accidental por psicofármacos y drogas de abuso,2,1105524,0.1809
2000,male,10-14,,Eventos de intención no determinada,0,1105524,0.0
2000,male,10-14,,Suicidio y lesiones autoinfligidas,6,1105524,0.5427
2000,male,10-14,I-XXII,Todas las causas,220,1105524,19.9001
2000,male,10-14,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1105524,0.0
2000,male,15-19,,Accidentes de tráfico,400,1346770,29.7007
2000,male,15-19,,Agresiones (homicidio),4,1346770,0.297
2000,male,15-19,,Envenenamiento accidental por psicofármacos y drogas de abuso,17,1346770,1.2623
2000,male,15-19,,Eventos de intención no determinada,0,1346770,0.0
2000,male,15-19,,Suicidio y lesiones autoinfligidas,71,1346770,5.2719
2000,male,15-19,I-XXII,Todas las causas,862,1346770,64.005
2000,male,15-19,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1346770,0.0
2000,male,20-24,,Accidentes de tráfico,664,1701281,39.0294
2000,male,20-24,,Agresiones (homicidio),26,1701281,1.5283
2000,male,20-24,,Envenenamiento accidental por psicofármacos y drogas de abuso,62,1701281,3.6443
