year,sex,cause_chapter,deaths
2014,female,III,1003
2014,female,IV,7582
2014,female,IX,63812
2014,female,V,12363
2014,female,VI-VIII,14475
2014,female,X,18935
2014,female,XI,9314
2014,female,XII,883
2014,female,XIII,2411
2014,female,XIV,6480
2014,female,XV,9
2014,female,XVI,332
2014,female,XVII,398
2014,female,XVIII,4502
2014,female,XX,5515
2014,male,I,3263
2014,male,II,67278
2014,male,III,781
2014,male,IV,5431
2014,male,IX,53581
2014,male,V,6343
2014,male,VI-VIII,8919
2014,male,X,24906
2014,male,XI,10071
2014,male,XII,435
2014,male,XIII,1268
2014,male,XIV,5050
2014,male,XV,0
2014,male,XVI,446
2014,male,XVII,430
2014,male,XVIII,3981
2014,male,XX,9388
2015,all,I,7567
2015,all,II,111381
2015,all,III,2028
2015,all,IV,14065
2015,all,IX,124197
2015,all,V,21333
2015,all,VI-VIII,25835
2015,all,X,51848
2015,all,XI,20360
2015,all,XII,1563
2015,all,XIII,4148
2015,all,XIV,12169
2015,all,XV,15
2015,all,XVI,674
2015,all,XVII,802
2015,all,XVIII,9504
2015,all,XX,15079
2015,female,I,3819
2015,female,II,43658
2015,female,III,1159
2015,female,IV,8112
2015,female,IX,67736
2015,female,V,14151
2015,female,VI-VIII,15947
2015,female,X,22918
2015,female,XI,9727
2015,female,XII,1038
2015,female,XIII,2782
2015,female,XIV,6856
2015,female,XV,15
2015,female,XVI,294
2015,female,XVII,397
2015,female,XVIII,4914
2015,female,XX,5736
2015,male,I,3748
2015,male,II,67723
2015,male,III,869
2015,male,IV,5953
2015,male,IX,56461
2015,male,V,7182
2015,male,VI-VIII,9888
2015,male,X,28930
2015,male,XI,10633
2015,male,XII,525
2015,male,XIII,1366
2015,male,XIV,5313
2015,male,XV,0
2015,male,XVI,380
2015,male,XVII,405
2015,male,XVIII,4590
2015,male,XX,9343
2016,all,I,7033
2016,all,II,112939
2016,all,III,1886
2016,all,IV,12700
2016,all,IX,119778
2016,all,V,20980
2016,all,VI-VIII,25236
2016,all,X,46812
2016,all,XI,20096
2016,all,XII,1523
2016,all,XIII,4256
2016,all,XIV,12173
2016,all,XV,15
2016,all,XVI,637
2016,all,XVII,846
2016,all,XVIII,8033
2016,all,XX,15668
2016,female,I,3707
2016,female,II,44320
2016,female,III,1079
2016,female,IV,7185
2016,female,IX,64471
2016,female,V,13828
2016,female,VI-VIII,15460
2016,female,X,20615
2016,female,XI,9514
2016,female,XII,988
2016,female,XIII,2814
2016,female,XIV,6816
2016,female,XV,15
2016,female,XVI,262
2016,female,XVII,416
2016,female,XVIII,4267
2016,female,XX,5861
2016,male,I,3326
2016,male,II,68619
2016,male,III,807
2016,male,IV,5515
2016,male,IX,55307
2016,male,V,7152
2016,male,VI-VIII,9776
2016,male,X,26197
2016,male,XI,10582
2016,male,XII,535
2016,male,XIII,1442
2016,male,XIV,5357
2016,male,XV,0
2016,male,XVI,375
2016,male,XVII,430
2016,male,XVIII,3766
2016,male,XX,9807
2017,all,I,6819
2017,all,II,113266
2017,all,III,1973
2017,all,IV,13296
2017,all,IX,122465
2017,all,V,21722
2017,all,VI-VIII,26345
2017,all,X,51615
2017,all,XI,20447
2017,all,XII,1691
2017,all,XIII,5070
2017,all,XIV,13188
2017,all,XV,13
2017,all,XVI,629
2017,all,XVII,814
2017,all,XVIII,9333
2017,all,XX,15837
2017,female,I,3533
2017,female,II,44758
2017,female,III,1117
2017,female,IV,7629
2017,female,IX,66286
2017,female,V,14314
2017,female,VI-VIII,16201
2017,female,X,23338
2017,female,XI,9781
2017,female,XII,1137
2017,female,XIII,3371
2017,female,XIV,7406
2017,female,XV,13
2017,female,XVI,273
2017,female,XVII,377
2017,female,XVIII,4839
2017,female,XX,5914
2017,male,I,3286
2017,male,II,68508
2017,male,III,856
2017,male,IV,5667
2017,male,IX,56179
2017,male,V,7408
2017,male,VI-VIII,10144
2017,male,X,28277
2017,male,XI,10666
2017,male,XII,554
2017,male,XIII,1699
2017,male,XIV,5782
2017,male,XV,0
2017,male,XVI,356
2017,male,XVII,437
2017,male,XVIII,4494
2017,male,XX,9923
2018,all,I,6398
2018,all,II,112714
2018,all,III,1946
2018,all,IV,13465
2018,all,IX,120859
2018,all,V,22376
2018,all,VI-VIII,26279
2018,all,X,53687
2018,all,XI,21689
2018,all,XII,1826
2018,all,XIII,5205
2018,all,XIV,13941
2018,all,XV,7
2018,all,XVI,630
2018,all,XVII,843
2018,all,XVIII,10088
2018,all,XX,15768
2018,female,I,3183
2018,female,II,44476
2018,female,III,1060
2018,female,IV,7561
2018,female,IX,64897
2018,female,V,14771
2018,female,VI-VIII,15960
2018,female,X,24502
2018,female,XI,10474
2018,female,XII,1187
2018,female,XIII,3490
2018,female,XIV,7850
2018,female,XV,7
2018,female,XVI,270
2018,female,XVII,410
2018,female,XVIII,5306
2018,female,XX,5875
2018,male,I,3215
2018,male,II,68238
2018,male,III,886
2018,male,IV,5904
2018,male,IX,55962
2018,male,V,7605
2018,male,VI-VIII,10319
2018,male,X,29185
2018,male,XI,11215
2018,male,XII,639
2018,male,XIII,1715
2018,male,XIV,6091
2018,male,XV,0
2018,male,XVI,360
2018,male,XVII,433
2018,male,XVIII,4782
2018,male,XX,9893
2019,all,I,6119
2019,all,II,113059
2019,all,III,2012
2019,all,IV,13351
2019,all,IX,116615
2019,all,V,22896
2019,all,VI-VIII,26120
2019,all,X,47681
2019,all,XI,22038
2019,all,XII,1775
2019,all,XIII,5162
2019,all,XIV,14123
2019,all,XV,6
2019,all,XVI,584
2019,all,XVII,815
2019,all,XVIII,10206
2019,all,XX,16141
2019,female,I,3058
2019,female,II,45108
2019,female,III,1134
2019,female,IV,7483
2019,female,IX,62104
