year,sex,age_group,nationality,population_july1
2005,female,50-54,spanish,1233335
2005,female,50-54,total,1306997
2005,female,55-59,foreign,57810
2005,female,55-59,spanish,1194429
2005,female,55-59,total,1252239
2005,female,60-64,foreign,45964
2005,female,60-64,spanish,1056984
2005,female,60-64,total,1102948
2005,female,65-69,foreign,34730
2005,female,65-69,spanish,956021
2005,female,65-69,total,990751
2005,female,70-74,foreign,21403
2005,female,70-74,spanish,1049309
2005,female,70-74,total,1070712
2005,female,75-79,foreign,13358
2005,female,75-79,spanish,897389
2005,female,75-79,total,910747
2005,female,80+,foreign,14104
2005,female,80+,spanish,1194148
2005,female,80+,total,1208253
2005,female,all,foreign,1722063
2005,female,all,spanish,20398585
2005,female,all,total,22120648
2005,male,0-4,foreign,79514
2005,male,0-4,spanish,1058224
2005,male,0-4,total,1137739
2005,male,10-14,foreign,87266
2005,male,10-14,spanish,987722
2005,male,10-14,total,1074987
2005,male,15-19,foreign,106242
2005,male,15-19,spanish,1086644
2005,male,15-19,total,1192886
2005,male,20-24,foreign,204531
2005,male,20-24,spanish,1311640
2005,male,20-24,total,1516171
2005,male,25-29,foreign,326632
2005,male,25-29,spanish,1621457
2005,male,25-29,total,1948088
2005,male,30-34,foreign,312236
2005,male,30-34,spanish,1660784
2005,male,30-34,total,1973020
2005,male,35-39,foreign,247019
2005,male,35-39,spanish,1608554
2005,male,35-39,total,1855573
2005,male,40-44,foreign,172938
2005,male,40-44,spanish,1547112
2005,male,40-44,total,1720051
2005,male,45-49,foreign,116966
2005,male,45-49,spanish,1406023
2005,male,45-49,total,1522989
2005,male,5-9,foreign,84297
2005,male,5-9,spanish,946673
2005,male,5-9,total,1030970
2005,male,50-54,foreign,72895
2005,male,50-54,spanish,1214857
2005,male,50-54,total,1287751
2005,male,55-59,foreign,51504
2005,male,55-59,spanish,1149015
2005,male,55-59,total,1200520
2005,male,60-64,foreign,42953
2005,male,60-64,spanish,988399
2005,male,60-64,total,1031352
2005,male,65-69,foreign,36832
2005,male,65-69,spanish,832693
2005,male,65-69,total,869525
2005,male,70-74,foreign,23184
2005,male,70-74,spanish,857078
2005,male,70-74,total,880262
2005,male,75-79,foreign,13507
2005,male,75-79,spanish,647438
2005,male,75-79,total,660945
2005,male,80+,foreign,11463
2005,male,80+,spanish,627674
2005,male,80+,total,639134
2005,male,all,foreign,1989980
2005,male,all,spanish,19551985
2005,male,all,total,21541965
2006,all,0-4,foreign,180138
2006,all,0-4,spanish,2107113
2006,all,0-4,total,2287251
2006,all,10-14,foreign,189701
2006,all,10-14,spanish,1893399
2006,all,10-14,total,2083099
2006,all,15-19,foreign,227605
2006,all,15-19,spanish,2076384
2006,all,15-19,total,2303989
2006,all,20-24,foreign,421537
2006,all,20-24,spanish,2447640
2006,all,20-24,total,2869176
2006,all,25-29,foreign,652203
2006,all,25-29,spanish,3080422
2006,all,25-29,total,3732625
2006,all,30-34,foreign,615345
2006,all,30-34,spanish,3306481
2006,all,30-34,total,3921826
2006,all,35-39,foreign,494204
2006,all,35-39,spanish,3212854
2006,all,35-39,total,3707059
2006,all,40-44,foreign,357188
2006,all,40-44,spanish,3144199
2006,all,40-44,total,3501387
2006,all,45-49,foreign,253041
2006,all,45-49,spanish,2907331
2006,all,45-49,total,3160372
2006,all,5-9,foreign,182522
2006,all,5-9,spanish,1891902
2006,all,5-9,total,2074424
2006,all,50-54,foreign,170579
2006,all,50-54,spanish,2510299
2006,all,50-54,total,2680878
2006,all,55-59,foreign,125434
2006,all,55-59,spanish,2349371
2006,all,55-59,total,2474805
2006,all,60-64,foreign,100278
2006,all,60-64,spanish,2101028
2006,all,60-64,total,2201306
2006,all,65-69,foreign,81222
2006,all,65-69,spanish,1764098
2006,all,65-69,total,1845321
2006,all,70-74,foreign,50067
2006,all,70-74,spanish,1910760
2006,all,70-74,total,1960826
2006,all,75-79,foreign,29688
2006,all,75-79,spanish,1585066
2006,all,75-79,total,1614754
2006,all,80+,foreign,28160
2006,all,80+,spanish,1913263
2006,all,80+,total,1941421
2006,all,all,foreign,4158912
2006,all,all,spanish,40201609
2006,all,all,total,44360521
2006,female,0-4,foreign,87209
2006,female,0-4,spanish,1023931
2006,female,0-4,total,1111140
2006,female,10-14,foreign,91450
2006,female,10-14,spanish,920906
2006,female,10-14,total,1012356
2006,female,15-19,foreign,109134
2006,female,15-19,spanish,1010040
2006,female,15-19,total,1119174
2006,female,20-24,foreign,207364
2006,female,20-24,spanish,1193228
2006,female,20-24,total,1400592
2006,female,25-29,foreign,300140
2006,female,25-29,spanish,1505734
2006,female,25-29,total,1805873
2006,female,30-34,foreign,266806
2006,female,30-34,spanish,1623921
2006,female,30-34,total,1890728
2006,female,35-39,foreign,212765
2006,female,35-39,spanish,1591124
2006,female,35-39,total,1803889
2006,female,40-44,foreign,160296
2006,female,40-44,spanish,1568932
2006,female,40-44,total,1729228
2006,female,45-49,foreign,118193
2006,female,45-49,spanish,1460118
2006,female,45-49,total,1578311
2006,female,5-9,foreign,89028
2006,female,5-9,spanish,920127
2006,female,5-9,total,1009154
2006,female,50-54,foreign,84687
2006,female,50-54,spanish,1265188
2006,female,50-54,total,1349875
2006,female,55-59,foreign,65870
2006,female,55-59,spanish,1195642
2006,female,55-59,total,1261512
2006,female,60-64,foreign,52056
2006,female,60-64,spanish,1085757
2006,female,60-64,total,1137813
2006,female,65-69,foreign,39583
2006,female,65-69,spanish,938518
2006,female,65-69,total,978101
2006,female,70-74,foreign,23726
2006,female,70-74,spanish,1050962
2006,female,70-74,total,1074687
2006,female,75-79,foreign,14628
2006,female,75-79,spanish,917427
2006,female,75-79,total,932054
2006,female,80+,foreign,15488
2006,female,80+,spanish,1249837
2006,female,80+,total,1265323
2006,female,all,foreign,1938422
2006,female,all,spanish,20521390
2006,female,all,total,22459813
2006,male,0-4,foreign,92929
2006,male,0-4,spanish,1083182
2006,male,0-4,total,1176111
2006,male,10-14,foreign,98251
2006,male,10-14,spanish,972493
2006,male,10-14,total,1070743
2006,male,15-19,foreign,118471
2006,male,15-19,spanish,1066344
2006,male,15-19,total,1184815
2006,male,20-24,foreign,214173
2006,male,20-24,spanish,1254411
2006,male,20-24,total,1468584
2006,male,25-29,foreign,352063
2006,male,25-29,spanish,1574688
2006,male,25-29,total,1926751
2006,male,30-34,foreign,348539
2006,male,30-34,spanish,1682560
2006,male,30-34,total,2031099
2006,male,35-39,foreign,281440
2006,male,35-39,spanish,1621730
2006,male,35-39,total,1903170
2006,male,40-44,foreign,196892
2006,male,40-44,spanish,1575267
2006,male,40-44,total,1772159
2006,male,45-49,foreign,134848
2006,male,45-49,spanish,1447213
2006,male,45-49,total,1582061
2006,male,5-9,foreign,93494
2006,male,5-9,spanish,971775
2006,male,5-9,total,1065270
2006,male,50-54,foreign,85893
2006,male,50-54,spanish,1245111
2006,male,50-54,total,1331003
2006,male,55-59,foreign,59564
2006,male,55-59,spanish,1153729
2006,male,55-59,total,1213293
2006,male,60-64,foreign,48222
2006,male,60-64,spanish,1015271
2006,male,60-64,total,1063493
2006,male,65-69,foreign,41639
2006,male,65-69,spanish,825581
2006,male,65-69,total,867220
2006,male,70-74,foreign,26341
2006,male,70-74,spanish,859798
2006,male,70-74,total,886139
2006,male,75-79,foreign,15060
2006,male,75-79,spanish,667639
2006,male,75-79,total,682699
2006,male,80+,foreign,12671
2006,male,80+,spanish,663427
2006,male,80+,total,676099
2006,male,all,foreign,2220490
2006,male,all,spanish,19680219
2006,male,all,total,21900709
2007,all,0-4,foreign,213252
2007,all,0-4,spanish,2149275
2007,all,0-4,total,2362527
2007,all,10-14,foreign,217148
2007,all,10-14,spanish,1869455
2007,all,10-14,total,2086604
2007,all,15-19,foreign,261151
2007,all,15-19,spanish,2051961
2007,all,15-19,total,2313112
2007,all,20-24,foreign,484720
2007,all,20-24,spanish,2348478
2007,all,20-24,total,2833198
2007,all,25-29,foreign,740731
2007,all,25-29,spanish,2966973
2007,all,25-29,total,3707704
2007,all,30-34,foreign,714246
2007,all,30-34,spanish,3329447
2007,all,30-34,total,4043692
2007,all,35-39,foreign,573960
2007,all,35-39,spanish,3237609
2007,all,35-39,total,3811569
2007,all,40-44,foreign,415031
2007,all,40-44,spanish,3201686
2007,all,40-44,total,3616717
2007,all,45-49,foreign,295848
2007,all,45-49,spanish,2966926
2007,all,45-49,total,3262774
2007,all,5-9,foreign,204461
2007,all,5-9,spanish,1942544
2007,all,5-9,total,2147005
2007,all,50-54,foreign,201311
2007,all,50-54,spanish,2579103
2007,all,50-54,total,2780415
2007,all,55-59,foreign,143029
2007,all,55-59,spanish,2380389
2007,all,55-59,total,2523417
2007,all,60-64,foreign,114242
2007,all,60-64,spanish,2181593
2007,all,60-64,total,2295836
2007,all,65-69,foreign,90838
2007,all,65-69,spanish,1726610
2007,all,65-69,total,1817448
2007,all,70-74,foreign,57093
2007,all,70-74,spanish,1892988
2007,all,70-74,total,1950082
2007,all,75-79,foreign,32625
2007,all,75-79,spanish,1623917
