sex,nationality,age,year,count
all,espanola,71+,2019,122
female,espanola,71+,2019,1
male,espanola,71+,2019,121
all,espanola,total,2019,1980
female,espanola,total,2019,34
male,espanola,total,2019,1946
all,europa_no_ue28,18-20,2019,1
female,europa_no_ue28,18-20,2019,0
male,europa_no_ue28,18-20,2019,1
all,europa_no_ue28,21-25,2019,5
female,europa_no_ue28,21-25,2019,0
male,europa_no_ue28,21-25,2019,5
all,europa_no_ue28,26-30,2019,3
female,europa_no_ue28,26-30,2019,1
male,europa_no_ue28,26-30,2019,2
all,europa_no_ue28,31-35,2019,4
female,europa_no_ue28,31-35,2019,0
male,europa_no_ue28,31-35,2019,4
all,europa_no_ue28,36-40,2019,2
female,europa_no_ue28,36-40,2019,0
male,europa_no_ue28,36-40,2019,2
all,europa_no_ue28,41-50,2019,5
female,europa_no_ue28,41-50,2019,0
male,europa_no_ue28,41-50,2019,5
all,europa_no_ue28,51-60,2019,3
female,europa_no_ue28,51-60,2019,0
male,europa_no_ue28,51-60,2019,3
all,europa_no_ue28,61-70,2019,0
female,europa_no_ue28,61-70,2019,0
male,europa_no_ue28,61-70,2019,0
all,europa_no_ue28,71+,2019,0
female,europa_no_ue28,71+,2019,0
male,europa_no_ue28,71+,2019,0
all,europa_no_ue28,total,2019,23
female,europa_no_ue28,total,2019,1
male,europa_no_ue28,total,2019,22
all,oceania,18-20,2019,0
female,oceania,18-20,2019,0
male,oceania,18-20,2019,0
all,oceania,21-25,2019,0
female,oceania,21-25,2019,0
male,oceania,21-25,2019,0
all,oceania,26-30,2019,0
female,oceania,26-30,2019,0
male,oceania,26-30,2019,0
all,oceania,31-35,2019,0
female,oceania,31-35,2019,0
male,oceania,31-35,2019,0
all,oceania,36-40,2019,0
female,oceania,36-40,2019,0
male,oceania,36-40,2019,0
all,oceania,41-50,2019,0
female,oceania,41-50,2019,0
male,oceania,41-50,2019,0
all,oceania,51-60,2019,1
female,oceania,51-60,2019,0
male,oceania,51-60,2019,1
all,oceania,61-70,2019,0
female,oceania,61-70,2019,0
male,oceania,61-70,2019,0
all,oceania,71+,2019,0
female,oceania,71+,2019,0
male,oceania,71+,2019,0
all,oceania,total,2019,1
female,oceania,total,2019,0
male,oceania,total,2019,1
all,total,18-20,2019,190
female,total,18-20,2019,7
male,total,18-20,2019,183
all,total,21-25,2019,296
female,total,21-25,2019,5
male,total,21-25,2019,291
all,total,26-30,2019,328
female,total,26-30,2019,11
male,total,26-30,2019,317
all,total,31-35,2019,324
female,total,31-35,2019,12
male,total,31-35,2019,312
all,total,36-40,2019,334
female,total,36-40,2019,12
male,total,36-40,2019,322
all,total,41-50,2019,559
female,total,41-50,2019,17
male,total,41-50,2019,542
all,total,51-60,2019,362
female,total,51-60,2019,6
male,total,51-60,2019,356
all,total,61-70,2019,189
female,total,61-70,2019,2
male,total,61-70,2019,187
all,total,71+,2019,126
female,total,71+,2019,1
male,total,71+,2019,125
all,total,total,2019,2708
female,total,total,2019,73
male,total,total,2019,2635
all,ue28_excl_espana,18-20,2019,11
female,ue28_excl_espana,18-20,2019,1
male,ue28_excl_espana,18-20,2019,10
all,ue28_excl_espana,21-25,2019,22
female,ue28_excl_espana,21-25,2019,2
male,ue28_excl_espana,21-25,2019,20
all,ue28_excl_espana,26-30,2019,42
female,ue28_excl_espana,26-30,2019,2
male,ue28_excl_espana,26-30,2019,40
all,ue28_excl_espana,31-35,2019,29
female,ue28_excl_espana,31-35,2019,3
male,ue28_excl_espana,31-35,2019,26
all,ue28_excl_espana,36-40,2019,22
female,ue28_excl_espana,36-40,2019,0
male,ue28_excl_espana,36-40,2019,22
all,ue28_excl_espana,41-50,2019,38
female,ue28_excl_espana,41-50,2019,3
male,ue28_excl_espana,41-50,2019,35
all,ue28_excl_espana,51-60,2019,17
female,ue28_excl_espana,51-60,2019,0
male,ue28_excl_espana,51-60,2019,17
all,ue28_excl_espana,61-70,2019,9
female,ue28_excl_espana,61-70,2019,0
male,ue28_excl_espana,61-70,2019,9
all,ue28_excl_espana,71+,2019,3
female,ue28_excl_espana,71+,2019,0
male,ue28_excl_espana,71+,2019,3
all,ue28_excl_espana,total,2019,193
female,ue28_excl_espana,total,2019,11
male,ue28_excl_espana,total,2019,182
all,africa,18-20,2020,26
female,africa,18-20,2020,3
male,africa,18-20,2020,23
all,africa,21-25,2020,49
female,africa,21-25,2020,1
male,africa,21-25,2020,48
all,africa,26-30,2020,36
female,africa,26-30,2020,2
male,africa,26-30,2020,34
all,africa,31-35,2020,40
female,africa,31-35,2020,3
male,africa,31-35,2020,37
all,africa,36-40,2020,36
female,africa,36-40,2020,4
male,africa,36-40,2020,32
all,africa,41-50,2020,31
female,africa,41-50,2020,0
male,africa,41-50,2020,31
all,africa,51-60,2020,9
female,africa,51-60,2020,0
male,africa,51-60,2020,9
all,africa,61-70,2020,3
female,africa,61-70,2020,0
male,africa,61-70,2020,3
all,africa,71+,2020,0
female,africa,71+,2020,0
male,africa,71+,2020,0
all,africa,total,2020,230
female,africa,total,2020,13
male,africa,total,2020,217
all,america,18-20,2020,22
female,america,18-20,2020,0
male,america,18-20,2020,22
all,america,21-25,2020,36
female,america,21-25,2020,0
male,america,21-25,2020,36
all,america,26-30,2020,35
female,america,26-30,2020,0
male,america,26-30,2020,35
all,america,31-35,2020,42
female,america,31-35,2020,2
male,america,31-35,2020,40
all,america,36-40,2020,40
